ra,dec,SDSS_Objid,Prediction,Label
1.8509,-0.5112000107765198,1237657190369132776,0.015184199,Barred-NonRings
1.8762,1.1677000522613523,1237657192516616361,5.6595967e-05,Barred-NonRings
1.8809,14.427300453186035,1237652942639202514,0.029091552,Barred-NonRings
1.8844,-0.6693000197410583,1237663783124467913,0.21118669,Barred-NonRings
1.8857,-1.069100022315979,1237663275781128214,0.09380648,Barred-NonRings
1.888,0.6651999950408936,1237657191979745427,0.043670982,Barred-NonRings
1.9083,13.929699897766112,1237652942102397066,0.5699911,Barred-Rings
1.919,15.850700378417969,1237656496725098673,0.00096620544,Barred-NonRings
1.9282,-10.814599990844728,1237652629099380906,0.035814986,Barred-NonRings
1.9457,15.68120002746582,1237652944249880721,0.20503893,Barred-NonRings
1.9846,-1.0017999410629272,1237657189832327301,0.03421689,Barred-NonRings
2.0251,15.343000411987305,1237652943713009858,0.17365469,Barred-NonRings
2.1117,0.3188000023365021,1237663543696949353,0.00015971276,Barred-NonRings
2.1181,-0.1251000016927719,1237657190906134722,0.13432823,Barred-NonRings
2.1368,1.0389000177383425,1237663278465548518,0.0002285993,Barred-NonRings
2.1562,0.9340000152587892,1237663278465548527,0.53152186,Barred-Rings
2.1633,-10.049400329589844,1237652947452821659,0.12709258,Barred-NonRings
2.1731,15.183199882507324,1237656495651487833,0.78150725,Barred-Rings
2.2297,15.141599655151367,1237656495651488000,0.04813537,Barred-NonRings
2.2354,15.70419979095459,1237652944250011823,0.00033375729,Barred-NonRings
2.2715,15.350600242614746,1237652943713141032,0.06380725,Barred-NonRings
2.2877,15.31089973449707,1237652943713140977,0.06600443,Barred-NonRings
2.3261,15.038900375366213,1237656495651553390,0.0038729638,Barred-NonRings
2.3316,-11.107399940490724,1237652899138502755,0.54667616,Barred-Rings
2.3656,15.27239990234375,1237652943713206500,0.00057904545,Barred-NonRings
2.3713,-9.184100151062012,1237672793961398377,0.0069052638,Barred-NonRings
2.3871,14.289600372314451,1237656494577811639,0.052757155,Barred-NonRings
2.402,-0.8421000242233276,1237657189832523972,0.06700527,Barred-NonRings
2.4374,15.453200340270996,1237656496188424383,0.08373667,Barred-NonRings
2.4592,14.620400428771973,1237656495114682508,0.054089066,Barred-NonRings
2.4686,-1.149899959564209,1237663275781324942,0.08450869,Barred-NonRings
2.4908,15.645899772644045,1237652944250077403,0.065760076,Barred-NonRings
2.4951,-10.157899856567385,1237652947452952760,0.08043813,Barred-NonRings
2.5136,-8.734100341796875,1237672794498072734,0.003875056,Barred-NonRings
2.5393,0.3689000010490417,1237663543697080564,0.0045998595,Barred-NonRings
2.5484,14.885499954223633,1237652943176400991,0.19664602,Barred-NonRings
